@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
28,'2022/08/22 14:02:40:109',1,-73.892982,63.808308,35.627491,5.124057,-21.536041,16.863914,-9.680937,-3.572461,15.987669,-11.575482,-4.809082,-22.009737,-21.717827,-2.614609,-8.554727,11.435148,-2.372071,6.486825,7.457023,-5.275302,-1.994778,-8.009319,-2.18157,6.615767,-0.524502,3.563815,1
29,'2022/08/22 14:02:40:109',1,-73.892982,63.808308,35.627491,5.124057,-21.536041,16.863914,-9.680937,-3.572461,15.987669,-11.575482,-4.809082,-22.009737,-21.717827,-2.614609,-8.554727,11.435148,-2.372071,6.486825,7.457023,-5.275302,-1.994778,-8.009319,-2.18157,6.615767,-0.524502,3.563815,1
30,'2022/08/22 14:02:40:123',1,-68.016823,65.544464,32.845619,5.336757,-19.956076,14.21834,-7.884923,-8.115919,13.390451,-8.544034,-8.202277,-18.966333,-18.86268,-0.500638,-5.285778,7.714541,-4.75857,5.49101,8.092317,-3.961683,-1.850337,-5.868233,1.687495,3.926752,-3.253558,3.725138,1
31,'2022/08/22 14:02:40:123',1,-68.016823,65.544464,32.845619,5.336757,-19.956076,14.21834,-7.884923,-8.115919,13.390451,-8.544034,-8.202277,-18.966333,-18.86268,-0.500638,-5.285778,7.714541,-4.75857,5.49101,8.092317,-3.961683,-1.850337,-5.868233,1.687495,3.926752,-3.253558,3.725138,1
32,'2022/08/22 14:02:40:133',1,-68.016823,65.544464,32.845619,5.336757,-19.956076,14.21834,-7.884923,-8.115919,13.390451,-8.544034,-8.202277,-18.966333,-18.86268,-0.500638,-5.285778,7.714541,-4.75857,5.49101,8.092317,-3.961683,-1.850337,-5.868233,1.687495,3.926752,-3.253558,3.725138,1
33,'2022/08/22 14:02:40:134',1,-69.91584,65.577057,36.818233,4.994555,-20.951614,14.856858,-5.5291,-10.442861,13.489743,-10.469816,-13.477819,-16.740463,-18.495481,3.386879,0.184824,2.385725,-2.304621,5.543658,6.510577,-4.649703,-1.864437,-8.005864,0.393219,3.651039,0.181846,-1.168162,1
34,'2022/08/22 14:02:40:134',1,-69.91584,65.577057,36.818233,4.994555,-20.951614,14.856858,-5.5291,-10.442861,13.489743,-10.469816,-13.477819,-16.740463,-18.495481,3.386879,0.184824,2.385725,-2.304621,5.543658,6.510577,-4.649703,-1.864437,-8.005864,0.393219,3.651039,0.181846,-1.168162,1
35,'2022/08/22 14:02:40:134',1,-69.91584,65.577057,36.818233,4.994555,-20.951614,14.856858,-5.5291,-10.442861,13.489743,-10.469816,-13.477819,-16.740463,-18.495481,3.386879,0.184824,2.385725,-2.304621,5.543658,6.510577,-4.649703,-1.864437,-8.005864,0.393219,3.651039,0.181846,-1.168162,1
36,'2022/08/22 14:02:40:143',1,-67.032196,66.856125,36.920441,0.881152,-23.840221,17.998419,-10.985548,-9.32268,14.044126,-12.230128,-14.436419,-21.409216,-19.800371,2.543459,1.022178,9.99723,-7.670133,4.960565,8.828335,-0.890983,3.083737,-10.114089,3.197126,4.607731,1.45902,2.557401,1
37,'2022/08/22 14:02:40:143',1,-67.032196,66.856125,36.920441,0.881152,-23.840221,17.998419,-10.985548,-9.32268,14.044126,-12.230128,-14.436419,-21.409216,-19.800371,2.543459,1.022178,9.99723,-7.670133,4.960565,8.828335,-0.890983,3.083737,-10.114089,3.197126,4.607731,1.45902,2.557401,1
38,'2022/08/22 14:02:40:144',1,-67.032196,66.856125,36.920441,0.881152,-23.840221,17.998419,-10.985548,-9.32268,14.044126,-12.230128,-14.436419,-21.409216,-19.800371,2.543459,1.022178,9.99723,-7.670133,4.960565,8.828335,-0.890983,3.083737,-10.114089,3.197126,4.607731,1.45902,2.557401,1
39,'2022/08/22 14:02:40:154',1,-69.301315,64.226906,34.253681,4.279278,-11.238944,16.096849,-7.64592,-10.194688,5.037016,-10.800783,-14.939507,-17.860014,-22.453348,3.323819,2.217389,13.889878,-3.737661,4.994672,8.314032,-1.296785,2.763624,-10.265537,-0.528861,1.111632,-2.197864,2.878721,1
40,'2022/08/22 14:02:40:167',1,-70.899933,60.531113,38.513855,6.891407,-17.157331,12.582076,-4.56501,-4.186351,15.249913,-11.470369,-14.351147,-15.968663,-20.775627,-0.422109,-5.578202,12.013221,-6.279061,1.330734,9.457838,1.146932,4.363563,-16.405458,-4.228226,0.982555,-0.409667,2.399196,1
41,'2022/08/22 14:02:40:167',1,-70.899933,60.531113,38.513855,6.891407,-17.157331,12.582076,-4.56501,-4.186351,15.249913,-11.470369,-14.351147,-15.968663,-20.775627,-0.422109,-5.578202,12.013221,-6.279061,1.330734,9.457838,1.146932,4.363563,-16.405458,-4.228226,0.982555,-0.409667,2.399196,1
42,'2022/08/22 14:02:40:168',1,-70.899933,60.531113,38.513855,6.891407,-17.157331,12.582076,-4.56501,-4.186351,15.249913,-11.470369,-14.351147,-15.968663,-20.775627,-0.422109,-5.578202,12.013221,-6.279061,1.330734,9.457838,1.146932,4.363563,-16.405458,-4.228226,0.982555,-0.409667,2.399196,1
43,'2022/08/22 14:02:40:177',1,-73.501091,55.004128,48.960545,5.037207,-16.457291,14.374916,-4.907388,-6.858294,6.744832,-13.071544,-16.999166,-12.185748,-23.559261,4.997678,-8.238865,18.138092,-6.950568,8.636484,3.824351,-4.370022,3.130238,-11.069189,5.010037,-0.213477,4.796499,-1.289455,1
44,'2022/08/22 14:02:40:178',1,-73.501091,55.004128,48.960545,5.037207,-16.457291,14.374916,-4.907388,-6.858294,6.744832,-13.071544,-16.999166,-12.185748,-23.559261,4.997678,-8.238865,18.138092,-6.950568,8.636484,3.824351,-4.370022,3.130238,-11.069189,5.010037,-0.213477,4.796499,-1.289455,1
45,'2022/08/22 14:02:40:178',1,-73.501091,55.004128,48.960545,5.037207,-16.457291,14.374916,-4.907388,-6.858294,6.744832,-13.071544,-16.999166,-12.185748,-23.559261,4.997678,-8.238865,18.138092,-6.950568,8.636484,3.824351,-4.370022,3.130238,-11.069189,5.010037,-0.213477,4.796499,-1.289455,1
46,'2022/08/22 14:02:40:189',1,-72.056412,54.871098,42.608784,7.142728,-12.580766,12.883587,-4.924294,-5.109098,8.750638,-10.429737,-14.179079,-14.48989,-29.663652,3.698667,-3.642086,13.781946,-5.18481,3.42831,7.496745,-3.86421,2.999179,-10.314407,0.478555,0.051691,0.807719,-2.723944,1
47,'2022/08/22 14:02:40:190',1,-72.056412,54.871098,42.608784,7.142728,-12.580766,12.883587,-4.924294,-5.109098,8.750638,-10.429737,-14.179079,-14.48989,-29.663652,3.698667,-3.642086,13.781946,-5.18481,3.42831,7.496745,-3.86421,2.999179,-10.314407,0.478555,0.051691,0.807719,-2.723944,1
48,'2022/08/22 14:02:40:190',1,-72.056412,54.871098,42.608784,7.142728,-12.580766,12.883587,-4.924294,-5.109098,8.750638,-10.429737,-14.179079,-14.48989,-29.663652,3.698667,-3.642086,13.781946,-5.18481,3.42831,7.496745,-3.86421,2.999179,-10.314407,0.478555,0.051691,0.807719,-2.723944,1
49,'2022/08/22 14:02:40:202',1,-82.401367,62.378143,43.399078,10.037311,-17.381462,4.472855,-1.478264,-2.928466,10.812696,-8.173861,-15.837006,-17.196077,-28.390957,0.115844,-0.62239,13.608073,-5.187922,4.288737,5.75636,0.374473,3.443556,-10.804447,-0.024832,1.62508,5.431036,-0.186501,1
50,'2022/08/22 14:02:40:202',1,-82.401367,62.378143,43.399078,10.037311,-17.381462,4.472855,-1.478264,-2.928466,10.812696,-8.173861,-15.837006,-17.196077,-28.390957,0.115844,-0.62239,13.608073,-5.187922,4.288737,5.75636,0.374473,3.443556,-10.804447,-0.024832,1.62508,5.431036,-0.186501,1
51,'2022/08/22 14:02:40:202',1,-82.401367,62.378143,43.399078,10.037311,-17.381462,4.472855,-1.478264,-2.928466,10.812696,-8.173861,-15.837006,-17.196077,-28.390957,0.115844,-0.62239,13.608073,-5.187922,4.288737,5.75636,0.374473,3.443556,-10.804447,-0.024832,1.62508,5.431036,-0.186501,1
52,'2022/08/22 14:02:40:213',1,-77.531967,67.946472,40.023186,6.633769,-14.464895,9.770514,-3.744221,-4.222885,11.111709,-15.069241,-10.881084,-22.906231,-26.954781,0.61523,2.583354,10.919569,-1.36033,2.768722,1.634342,-1.207157,3.657828,-4.40713,-1.92217,2.176765,0.847923,2.441418,1
53,'2022/08/22 14:02:40:213',1,-77.531967,67.946472,40.023186,6.633769,-14.464895,9.770514,-3.744221,-4.222885,11.111709,-15.069241,-10.881084,-22.906231,-26.954781,0.61523,2.583354,10.919569,-1.36033,2.768722,1.634342,-1.207157,3.657828,-4.40713,-1.92217,2.176765,0.847923,2.441418,1
54,'2022/08/22 14:02:40:214',1,-77.531967,67.946472,40.023186,6.633769,-14.464895,9.770514,-3.744221,-4.222885,11.111709,-15.069241,-10.881084,-22.906231,-26.954781,0.61523,2.583354,10.919569,-1.36033,2.768722,1.634342,-1.207157,3.657828,-4.40713,-1.92217,2.176765,0.847923,2.441418,1
55,'2022/08/22 14:02:40:224',1,-76.552696,64.877228,39.484962,10.822066,-15.907049,11.549446,-5.156747,0.59155,13.631516,-17.925417,-13.940245,-26.38599,-24.50926,3.367348,-1.152156,10.931187,-3.053745,2.70645,8.713943,-3.800656,0.258085,-3.503746,-3.76555,5.795229,-1.082539,3.193319,1
56,'2022/08/22 14:02:40:225',1,-76.552696,64.877228,39.484962,10.822066,-15.907049,11.549446,-5.156747,0.59155,13.631516,-17.925417,-13.940245,-26.38599,-24.50926,3.367348,-1.152156,10.931187,-3.053745,2.70645,8.713943,-3.800656,0.258085,-3.503746,-3.76555,5.795229,-1.082539,3.193319,1
57,'2022/08/22 14:02:40:225',1,-76.552696,64.877228,39.484962,10.822066,-15.907049,11.549446,-5.156747,0.59155,13.631516,-17.925417,-13.940245,-26.38599,-24.50926,3.367348,-1.152156,10.931187,-3.053745,2.70645,8.713943,-3.800656,0.258085,-3.503746,-3.76555,5.795229,-1.082539,3.193319,1
